id,site_ID,expand_name,location,sponsor,revenue,owner,year,traffic,Media Type,type
197,197,Bossip,USA,advertising/sponsor,mixed,iOneDigital,2006,Unknown,Unknown,mega
198,198,Return to Now,USA,advertising,advertising,Unknown,2016,Unknown,Unknown,pseudoscience 
199,199,Trending Politics,USA,advertising/sales,mixed,Unknown,2019,Medium,Website,politics
200,200,We are Change,USA,advertising/donations/sales,mixed,Unknown,2006,Unknown,Unknown,conspiracy 
201,201,Thought Catalog,USA,advertising/sponsor,mixed,Thought & Expression Company LLC,2010,Unknown,Unknown,pseudoscience 
202,202,Great American Daily,USA,advertising,advertising,Unknown,2016,Unknown,Unknown,politics
203,203,American Free Press,USA,advertising/fees,mixed,Willis Carto,2001,Minimal,Website,conspiracy 
204,204,Quillette,Australia,advertising/donations,mixed,Unknown,2015,Medium,Website,politics
205,205,Flag & Cross,USA,advertising/sales,mixed,Brandon Vallorani,2018,Unknown,Unknown,politics
206,206,Collective Evolution,USA,advertising/donations/fees,mixed,Joe Martino,2009,Medium,Website,conspiracy 
207,207,Daily Political Newswire,Unknown,advertising,advertising,Unknown,2016,Unknown,Unknown,politics
208,208,Freedom First Network,USA,advertising,advertising,Unknown,2020,Minimal,Website,politics
209,209,CS Globe,Unknown,advertising/donations,mixed,Unknown,2012,Unknown,Unknown,conspiracy 
210,210,Scientific American,,,,,,,,science
211,211,Patriots For Truth,USA,Unknown,Unknown,Unknown,2017,Unknown,Unknown,conspiracy 
212,212,Press TV,Iran,organization,organization,Islamic Republic of Iran Broadcasting,2007,High,TV Station,mega
213,213,The Millennium Report,USA,Unknown,Unknown,Unknown,2014,Unknown,Unknown,conspiracy 
214,214,GeoEngineering Watch,USA,Unknown,Unknown,Unknown,2009,Unknown,Unknown,conspiracy 
215,215,The Majalla,Saudi Arabia,advertising,advertising,Saudi Research and Marketing Group,1980,Minimal,Magazine,mega
216,216,clashdaily.com,USA,advertising/donations,mixed,Clash Daily LLC.,Unknown,Unknown,Unknown,politics
217,217,We The People Daily,USA,advertising,advertising,Unknown,2019,Unknown,Unknown,politics
218,218,Sons of 1776,USA,advertising,advertising,Unknown,2018,Unknown,Unknown,politics
219,219,TB Daily News,USA,advertising/sales,mixed,Worcester Digital Marketing LLC.,2018,Unknown,Unknown,politics
220,220,Biologos Foundation,USA,donations,donations,The BioLogos Foundation,2007,Unknown,Unknown,pseudoscience 
221,221,LaRouche PAC,USA,donations,donations,The LaRouche PAC,Unknown,Unknown,Unknown,politics
222,222,Corona Transition,Switzerland,donations,donations,Corona-Reset,2020,Minimal,Organization/Foundation,antivaxx campaigns
223,223,fellowshipoftheminds.com ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,conspiracy 
224,224,TheSpectator.info,USA,advertising,advertising,Unknown,2019,Unknown,Unknown,politics
225,225,The Epoch Times,USA,advertising/donations/fees,mixed,Epoch Media Group,2000,High,Newspaper,mega
226,226,PBS,,,,,,,,mega
227,227,WikiIslam,USA,donations,donations,Ex-Muslims of North America,2006,Medium,hategroup,politics
228,228,National Vanguard,USA,donations/sales,mixed,Kevin Strom,2005,Minimal,Organization/Foundation,politics
229,229,White House,,,,,,,,official
230,230,Black Genocide,USA,donations,donations,LEARN,2001,Unknown,Unknown,politics
231,231,Republican National Committee,USA,organization,organization,Republican National Committee,1856,Unknown,Unknown,politics
232,232,The Right Stuff,USA,fees,fees,The Right Stuff Dot Biz LLC,Unknown,Unknown,Unknown,politics
233,233,South Africa Today,USA,Unknown,Unknown,Media Link Services LTD,Unknown,Minimal,Website,politics
234,234,The True Defender,USA,advertising,advertising,Unknown,2004,Medium,Website,politics
235,235,UK Column,United Kingdom,advertising/donations/fees,mixed,Unknown,Unknown,Medium,Newspaper,politics
236,236,CCTV International,China,,,,,,,mega
237,237,Becker News,USA,advertising,advertising,Kyle Becker,2020,Medium,Website,politics
238,238,MoonBattery,USA,advertising/donations,mixed,Dave Blount,2004,Unknown,Unknown,politics
239,239,Info wars ,USA,advertising/sales,mixed,Free Speech Systems LLC,1999,High,TV Station,conspiracy 
240,240,Truth in Media,USA,advertising/sales,mixed,Benjamin Swann,Unknown,Minimal,Website,conspiracy 
241,241,Conservative Firing Line,USA,advertising,advertising,Joe Newby,2012,Unknown,Unknown,politics
242,242,Natural Society,USA,sales,sales,Unknown,Unknown,Minimal,Website,conspiracy 
243,243,GreatReject,Netherlands,advertising/donations,mixed,Unknown,2020,Minimal,Website,conspiracy 
244,244,Redoubt News,USA,advertising/sponsor,mixed,Redoubt News LLC,2016,Minimal,Website,politics
245,245,DailyHealthPost,Canada,advertising,advertising,Unknown,2012,Unknown,Unknown,pseudoscience 
246,246,Climate Change Dispatch,USA,advertising/donations,mixed,Thomas Richard,2010,Minimal,Website,conspiracy 
247,247,Weston A. Price Foundation,USA,organization,organization,The Weston A. Price Foundation,1999,Unknown,Unknown,pseudoscience 
248,248,Liberty Hangout,USA,sales,sales,Kaitlin Bennett,2015,Unknown,Unknown,conspiracy 
249,249,China Global Television Network,China,,,,,,,mega
250,250,The True Reporter,USA,advertising,advertising,Unknown,2004,Medium,Website,conspiracy 
251,251,The Economist,,,,,,,,mega
